minSharpness,minBrightness,maxBrightness,flowMax,precision_good,recall_good,f1_good,api_reduction,false_reject_rate
0.05,0.12,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.05,0.12,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.05,0.12,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.05,0.15,0.85,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.85,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.85,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.85,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.05,0.15,0.9,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.9,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.9,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.9,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.05,0.15,0.92,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.92,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.92,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.92,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.05,0.15,0.95,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.95,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.95,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.05,0.15,0.95,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.1,0.08,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.08,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.08,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.08,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.08,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.1,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.1,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.1,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.1,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.1,0.1,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.1,0.12,0.85,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.85,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.85,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.85,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.1,0.12,0.9,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.9,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.9,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.9,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.1,0.12,0.92,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.92,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.92,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.92,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.1,0.12,0.95,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.95,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.95,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.1,0.12,0.95,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.1,0.15,0.85,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.85,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.85,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.85,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.1,0.15,0.9,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.9,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.9,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.9,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.1,0.15,0.92,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.92,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.92,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.92,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.1,0.15,0.95,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.95,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.95,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.1,0.15,0.95,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.15000000000000002,0.08,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.08,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.08,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.08,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.08,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.1,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.1,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.1,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.1,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.15000000000000002,0.1,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.15000000000000002,0.12,0.85,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.85,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.85,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.85,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.15000000000000002,0.12,0.9,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.9,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.9,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.9,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.15000000000000002,0.12,0.92,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.92,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.92,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.92,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.15000000000000002,0.12,0.95,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.95,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.95,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.15000000000000002,0.12,0.95,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.15000000000000002,0.15,0.85,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.85,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.85,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.85,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.15000000000000002,0.15,0.9,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.9,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.9,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.9,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.15000000000000002,0.15,0.92,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.92,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.92,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.92,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.15000000000000002,0.15,0.95,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.95,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.95,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.15000000000000002,0.15,0.95,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.2,0.08,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.08,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.08,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.08,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.08,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.1,0.85,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.85,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.85,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.85,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.1,0.9,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.9,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.9,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.9,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.1,0.92,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.92,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.92,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.92,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.1,0.95,0.5,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.95,1.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.95,2.0,0.16666666666666666,0.25,0.2,0.5384615384615384,0.75
0.2,0.1,0.95,inf,0.4444444444444444,1.0,0.6153846153846154,0.3076923076923077,0.0
0.2,0.12,0.85,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.85,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.85,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.85,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.2,0.12,0.9,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.9,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.9,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.9,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.2,0.12,0.92,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.92,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.92,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.92,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.2,0.12,0.95,0.5,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.95,1.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.95,2.0,0.2,0.25,0.2222222222222222,0.6153846153846154,0.75
0.2,0.12,0.95,inf,0.5,1.0,0.6666666666666666,0.38461538461538464,0.0
0.2,0.15,0.85,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.85,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.85,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.85,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.2,0.15,0.9,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.9,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.9,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.9,inf,0.5714285714285714,1.0,0.7272727272727273,0.46153846153846156,0.0
0.2,0.15,0.92,0.5,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.92,1.0,0.25,0.25,0.25,0.6923076923076923,0.75
0.2,0.15,0.92,2.0,0.25,0.25,0.25,0.6923076923076923,0.75
